;"MeanDecreaseGini"
"tBodyGyro.entropy...Z";2.7906521693
"tBodyGyro.energy...Y";2.779154401
"fBodyAcc.bandsEnergy...1.16.1";2.7773958007
"fBodyBodyAccJerkMag.kurtosis..";2.7416556652
"tGravityAccMag.iqr..";2.7224771294
"fBodyGyro.bandsEnergy...1.16.2";2.7214662219
"tBodyAccJerk.correlation...X.Y";2.7022076402
"tBodyGyro.std...Y";2.6724612072
"tGravityAcc.iqr...Y";2.6462863082
"tBodyAccJerk.correlation...X.Z";2.6462446116
"tBodyAccMag.mean..";2.6141060009
"tBodyAcc.min...X";2.5371903508
"fBodyBodyGyroJerkMag.max..";2.5223487916
"tBodyAccJerkMag.min..";2.5204975767
"fBodyAcc.bandsEnergy...17.32.2";2.462384399
"tBodyGyro.mean...Y";2.4451866835
"fBodyGyro.std...Y";2.4239204448
"fBodyGyro.bandsEnergy...1.24.1";2.3970774253
"tBodyAcc.iqr...Y";2.3917792572
"tBodyAccJerk.max...Z";2.3894656062
"fBodyGyro.bandsEnergy...1.16.1";2.3674932669
"tBodyAcc.std...Y";2.356876822
"fBodyGyro.mean...Y";2.3553990465
"fBodyAccJerk.bandsEnergy...17.24.2";2.3472046228
"tBodyGyroMag.min..";2.3304816042
"fBodyGyro.bandsEnergy...1.8.1";2.3265078647
"fBodyAcc.bandsEnergy...1.24.1";2.3159961837
"tBodyAcc.mad...Y";2.3026847763
"fBodyAcc.std...Z";2.2594559111
"fBodyBodyGyroJerkMag.kurtosis..";2.2438298163
"fBodyGyro.bandsEnergy...41.48";2.2272327113
"fBodyGyro.mean...Z";2.224211457
"fBodyGyro.meanFreq...Z";2.2147128647
"angle.tBodyGyroJerkMean.gravityMean.";2.2090701323
"fBodyGyro.mad...Y";2.1997788132
"fBodyGyro.bandsEnergy...49.64";2.1961417774
"fBodyGyro.bandsEnergy...17.24.1";2.1954985179
"fBodyAcc.bandsEnergy...1.24.2";2.1825554804
"tBodyGyroJerk.correlation...Y.Z";2.1810556664
"fBodyGyro.bandsEnergy...25.48.2";2.1640442835
"fBodyAcc.maxInds.Y";2.1538608281
"fBodyGyro.bandsEnergy...17.32.1";2.1396402223
"tGravityAcc.std...Z";2.1267000496
"fBodyAcc.iqr...X";2.1260321964
"fBodyAccJerk.bandsEnergy...1.8.2";2.119615472
"tGravityAcc.mad...Z";2.0866171388
"tBodyAccJerk.min...Y";2.082112896
"tBodyAcc.mad...Z";2.0648297553
"fBodyGyro.bandsEnergy...25.32.2";2.0349059269
"fBodyGyro.bandsEnergy...17.32.2";2.0152750273
"tBodyGyroJerk.mad...Y";1.9959225813
"tGravityAcc.entropy...Z";1.9933739784
"tBodyGyroJerk.std...Y";1.9921118636
"fBodyAcc.energy...Y";1.9850103702
"tBodyGyroJerk.energy...Y";1.9749380759
"fBodyGyro.bandsEnergy...25.32.1";1.9661434171
"fBodyGyro.iqr...X";1.9652207563
"tBodyGyroJerk.arCoeff...X.2";1.9611667453
"tBodyAcc.std...Z";1.954046401
"fBodyGyro.bandsEnergy...17.32";1.9515077462
"tBodyAcc.energy...Z";1.9506578563
"fBodyAcc.skewness...Z";1.9416066138
"fBodyGyro.bandsEnergy...17.24.2";1.9284590246
"fBodyGyro.bandsEnergy...57.64.2";1.9237761177
"fBodyAccJerk.bandsEnergy...25.48.2";1.9061214442
"fBodyGyro.iqr...Y";1.8843232305
"tBodyAccJerk.correlation...Y.Z";1.8766893247
"fBodyAcc.energy...Z";1.8707893643
"tBodyAccJerk.energy...Z";1.8684308631
"fBodyAccJerk.skewness...Y";1.8574051123
"tGravityAccMag.entropy..";1.8420285234
"tBodyAccJerk.max...Y";1.840631008
"tBodyGyro.max...Y";1.8214525378
"fBodyAcc.bandsEnergy...33.48";1.7802051587
"tBodyGyro.max...Z";1.7681108687
"fBodyBodyGyroJerkMag.mad..";1.7680195019
"tBodyGyroJerk.mean...X";1.7487034807
"tBodyGyro.arCoeff...Y.4";1.7480898934
"tBodyAcc.arCoeff...X.4";1.7455637075
"tBodyGyroJerkMag.mad..";1.7115555224
"fBodyAcc.bandsEnergy...9.16.1";1.7089378175
"fBodyGyro.mad...Z";1.6972686663
"fBodyGyro.bandsEnergy...57.64";1.680861207
"fBodyAccJerk.bandsEnergy...17.32.1";1.6731210375
"fBodyGyro.bandsEnergy...25.48.1";1.6665481913
"tBodyGyroJerk.max...Y";1.6301637004
"tBodyGyroJerk.max...Z";1.6236863052
"tBodyGyroJerk.min...Y";1.6233793577
"tBodyGyroJerk.arCoeff...Z.4";1.6227875052
"fBodyAccJerk.std...Z";1.6214921747
"fBodyGyro.bandsEnergy...41.48.2";1.6175838496
"fBodyGyro.meanFreq...Y";1.6142320709
"fBodyGyro.bandsEnergy...49.64.2";1.6121705721
"tBodyGyro.arCoeff...X.4";1.6004036461
"fBodyAcc.bandsEnergy...33.40";1.5880514999
"tBodyGyroJerkMag.std..";1.5862014829
"fBodyGyro.bandsEnergy...33.48.2";1.5832614875
"fBodyAccJerk.mean...Z";1.5790553521
"tBodyGyro.arCoeff...Z.4";1.5722152567
"fBodyGyro.bandsEnergy...33.48";1.5717837714
"fBodyAccJerk.skewness...X";1.5685435966
"tBodyGyroJerkMag.arCoeff..1";1.5633978613
"fBodyBodyGyroJerkMag.energy..";1.5618083829
"fBodyGyro.bandsEnergy...9.16.1";1.5545472263
"fBodyGyro.entropy...Y";1.5465615425
"tBodyGyroMag.sma..";1.5392621567
"tBodyGyro.sma..";1.536800426
"fBodyBodyGyroMag.skewness..";1.5349215732
"fBodyAccJerk.meanFreq...Z";1.5219649795
"tBodyGyro.arCoeff...Y.1";1.5129730832
"fBodyBodyGyroMag.kurtosis..";1.5116120908
"fBodyGyro.bandsEnergy...49.56";1.5091373356
"tBodyAccJerk.std...Z";1.4980275086
"tBodyGyroJerk.arCoeff...Y.1";1.4840803358
"fBodyAcc.kurtosis...Z";1.480836426
"tGravityAcc.iqr...Z";1.4725829833
"tBodyAcc.iqr...Z";1.4708982574
"tBodyAcc.arCoeff...Z.4";1.4699213681
"fBodyAcc.bandsEnergy...17.24.2";1.464859375
"fBodyAcc.bandsEnergy...41.48";1.449583082
"fBodyGyro.bandsEnergy...49.56.2";1.4436344999
"tBodyGyroMag.entropy..";1.4390980755
"fBodyAccJerk.mad...Z";1.4390624754
"tBodyAccJerk.arCoeff...Z.4";1.4182216975
"fBodyGyro.bandsEnergy...25.32";1.4117971686
"fBodyGyro.bandsEnergy...33.40";1.4069649968
"tBodyGyroMag.arCoeff..2";1.4051270663
"fBodyBodyGyroMag.iqr..";1.4043014496
"fBodyAccJerk.max...Z";1.403517965
"tBodyGyroJerk.min...Z";1.3976067783
"tBodyAccJerkMag.arCoeff..2";1.382891966
"fBodyAcc.mad...Y";1.3701430808
"tBodyGyroJerk.mean...Z";1.3659043066
"fBodyAcc.maxInds.X";1.3648166587
"fBodyAcc.bandsEnergy...25.48.2";1.3545193296
"fBodyAcc.mad...Z";1.3512011892
"fBodyAccJerk.bandsEnergy...9.16.2";1.3479689331
"tBodyAccJerk.arCoeff...Z.3";1.3262311276
"fBodyAccJerk.bandsEnergy...25.48";1.3232302611
"fBodyAcc.bandsEnergy...25.32.2";1.3188661975
